"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_basement","yr_built","sqft_living15","sqft_lot15","seattle","renovated"
"1",169100,3,2,1050,18304,1,"0",0,4,7,0,1953,1690,15675,FALSE,"0"
"2",286651,3,2.5,1830,4997,2,"0",0,3,7,0,2004,2488,4998,FALSE,"0"
"3",260000,3,2,1630,8018,1,"0",0,3,7,0,2003,1610,8397,FALSE,"0"
"4",447500,4,2.5,2425,9017,2,"0",0,3,9,0,2013,2725,7019,FALSE,"0"
"5",427000,3,2.5,2432,9391,2,"0",2,3,9,0,2005,2912,8932,FALSE,"0"
"6",850000,4,2.75,5440,239580,1,"0",0,2,9,2720,1969,1970,40392,FALSE,"0"
"7",270000,2,1,1780,81021,1,"0",3,4,9,0,1954,1780,26723,FALSE,"0"
"8",315000,3,2.5,1600,7982,2,"0",0,3,8,0,1993,1890,9830,FALSE,"0"
"9",162500,3,1.5,1390,7417,1,"0",0,3,7,0,1967,1390,7665,FALSE,"0"
"10",353000,4,2.5,1912,5000,2,"0",0,3,8,0,2012,2020,5000,FALSE,"0"
"11",328000,3,2,2250,7904,1.5,"0",0,3,8,0,1998,2460,8622,FALSE,"0"
"12",274950,3,1.75,1840,16679,1,"0",0,3,8,0,1989,1910,15571,FALSE,"0"
"13",239950,3,1,1900,33888,1.5,"0",0,4,5,0,1942,1430,19200,FALSE,"0"
"14",220000,3,1.5,1660,15600,2,"0",0,3,7,0,1981,1660,14400,FALSE,"0"
"15",230000,4,2,1440,10800,1,"0",0,4,7,0,1967,1190,7380,FALSE,"0"
"16",204900,3,2,1390,8245,1,"0",0,2,7,0,1984,1260,8245,FALSE,"0"
"17",255000,3,2.75,1900,16117,1,"0",0,4,7,0,1958,1640,19166,FALSE,"0"
"18",189950,4,2,1910,4225,1,"0",0,4,6,1000,1919,1060,4800,FALSE,"0"
"19",287000,4,2.5,2240,4648,2,"0",0,3,7,0,2005,2221,4557,FALSE,"0"
"20",252000,4,1.5,1550,19800,1,"0",0,4,7,500,1969,1640,22654,FALSE,"0"
"21",314950,4,1.75,1890,9623,1,"0",0,4,7,600,1969,1510,9711,FALSE,"0"
"22",287500,4,2.5,2240,6944,1,"0",2,3,7,930,1979,1780,7477,FALSE,"0"
"23",299000,3,1,1510,142803,1,"0",0,3,7,0,1974,1330,46609,FALSE,"0"
"24",372000,5,2.5,2840,6010,2,"0",0,3,8,0,2003,2740,5509,FALSE,"0"
"25",389000,3,1.75,2180,9220,1,"0",0,4,7,1090,1938,2050,22400,FALSE,"0"
"26",535000,3,2,2740,23505,2,"0",4,3,10,0,1988,2800,16400,FALSE,"0"
"27",382450,3,2.5,2220,20531,2,"0",0,3,8,0,1998,2420,19249,FALSE,"0"
"28",234950,3,2,1510,9153,1,"0",0,4,7,0,1974,1780,9286,FALSE,"0"
"29",227000,1,2,1150,9812,1,"0",0,4,7,0,1962,1200,9812,FALSE,"0"
"30",340000,3,1.75,1880,11249,1,"0",0,3,7,550,1985,1870,14547,FALSE,"0"
"31",3e+05,4,2.5,2600,8572,2,"0",0,3,8,0,2003,2170,5288,FALSE,"0"
"32",196000,3,2.25,2070,11576,2,"0",0,3,7,0,1974,1890,7519,FALSE,"0"
"33",287600,3,2.5,1950,8251,2,"0",0,3,7,0,1990,1540,8588,FALSE,"0"
"34",260000,4,2.75,2240,7200,1,"0",0,3,7,1100,1967,1580,7416,FALSE,"0"
"35",524225,4,2.5,3056,11385,2,"0",0,3,9,0,2014,2849,8607,FALSE,"0"
"36",339000,4,2.5,2900,6918,2,"0",0,3,8,0,2001,2720,10376,FALSE,"0"
"37",305000,4,2.5,2250,9091,1,"0",0,3,7,910,1982,1540,7802,FALSE,"0"
"38",551870,3,2.5,2507,18400,2,"0",0,3,8,0,2006,1520,14709,FALSE,"0"
"39",274000,5,1.75,1950,8720,1,"0",0,3,7,900,1962,1660,8030,FALSE,"0"
"40",363000,3,0.75,2510,20000,2,"0",0,4,7,0,1961,2130,20000,FALSE,"0"
"41",260000,3,1.75,2170,10018,1,"0",0,4,7,540,1978,2049,15263,FALSE,"0"
"42",168000,3,1,1150,8000,1.5,"0",0,4,6,0,1913,1170,9600,FALSE,"1"
"43",234950,4,2,1450,7560,1,"0",0,3,7,0,1967,1430,7560,FALSE,"0"
"44",375000,4,2,2270,18450,1,"0",0,3,7,0,1961,2150,18450,FALSE,"0"
"45",249900,3,1.75,2080,12522,1,"0",0,5,6,0,1950,1690,11200,FALSE,"0"
"46",259900,4,2.75,1560,8820,1,"0",3,3,7,500,1979,2140,7800,FALSE,"0"
"47",115000,2,1,1000,16524,1,"0",0,3,5,0,1913,1350,10208,FALSE,"0"
"48",424000,4,2.5,2650,8685,2,"0",0,3,9,0,2006,2650,7932,FALSE,"0"
"49",420000,4,2.5,2480,8626,2,"0",0,3,10,0,2001,2990,9033,FALSE,"0"
"50",246900,3,1.5,1370,9800,1,"0",0,5,7,0,1968,1370,9800,FALSE,"0"
"51",160000,3,1.75,1610,7392,1,"0",0,4,7,0,1964,1450,7392,FALSE,"0"
